上市编号,上市公司名,违纪类型,红头文件
603893,瑞芯微,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/5700705.pdf
600318,新力金融,监管工作函,NO SUCH FILE!
600884,杉杉股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/212fecb1-7bdc-4c4a-9e48-81d30d296f49.pdf
600633,浙数文化,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/5700659.pdf
688007,光峰科技,监管工作函,NO SUCH FILE!
603222,济民医疗,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/25ffb2d0-7aef-421a-a425-e8b564475959.pdf
600777,新潮能源,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/87492476-8426-4c83-8114-f4c3c2c978c2.pdf
600275,*ST昌鱼,监管工作函,NO SUCH FILE!
600870,*ST厦华,监管工作函,NO SUCH FILE!
688517,金冠电气,监管工作函,NO SUCH FILE!
688086,紫晶存储,监管工作函,NO SUCH FILE!
600360,华微电子,监管工作函,NO SUCH FILE!
600077,宋都股份,监管工作函,NO SUCH FILE!
603665,康隆达,监管工作函,NO SUCH FILE!
600545,卓郎智能,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/4f96246d-8f39-4367-9718-7a4b8414c2d9.pdf
600146,*ST环球,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/1a6f9ffa-63dc-44be-a8ff-15abec4c91b9.pdf
600146,*ST环球,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/1a6f9ffa-63dc-44be-a8ff-15abec4c91b9.pdf
600777,新潮能源,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/8d27ffe3-e3b3-4ae1-8ba5-521f9ddb98b2.pdf
603559,中通国脉,监管工作函,NO SUCH FILE!
688256,寒武纪,监管工作函,NO SUCH FILE!
688560,明冠新材,监管工作函,NO SUCH FILE!
600360,华微电子,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/9724bafb-5e97-4a8c-8141-3fff4cbefd90.pdf
603390,通达电气,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/96211dab-b096-4b8a-976e-d2fd2a1dc377.pdf
603991,至正股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/8a6a9455-db00-4715-acd6-409360e2f5ce.pdf
601002,晋亿实业,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/eaa50aaa-060f-4029-81e5-ef8c8300a860.pdf
601567,三星医疗,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/96804dd2-76fd-400c-ab06-6ab9812c9228.pdf
600293,三峡新材,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/f29be518-69d3-42e6-bd0c-39d56c2c2cdf.pdf
688565,力源科技,监管工作函,NO SUCH FILE!
688565,力源科技,监管工作函,NO SUCH FILE!
688418,震有科技,监管工作函,NO SUCH FILE!
600654,ST中安,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/f9c6b974-64c9-492c-902d-ee144dbf5c99.pdf
600654,ST中安,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/f9c6b974-64c9-492c-902d-ee144dbf5c99.pdf
600654,ST中安,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/f9c6b974-64c9-492c-902d-ee144dbf5c99.pdf
600654,ST中安,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/2c8943b3-6d6c-49da-a09f-60be10de3df9.pdf
688108,赛诺医疗,监管工作函,NO SUCH FILE!
688789,宏华数科,监管工作函,NO SUCH FILE!
600052,东望时代,监管工作函,NO SUCH FILE!
688309,恒誉环保,监管工作函,NO SUCH FILE!
603988,中电电机,监管工作函,NO SUCH FILE!
688555,泽达易盛,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/e67952bf-d709-44c5-ad02-b42156e66f70.pdf
688011,新光光电,监管工作函,NO SUCH FILE!
688070,纵横股份,监管工作函,NO SUCH FILE!
688235,百济神州,监管工作函,NO SUCH FILE!
603360,百傲化学,监管工作函,NO SUCH FILE!
600346,恒力石化,监管工作函,NO SUCH FILE!
688787,海天瑞声,监管工作函,NO SUCH FILE!
688229,博睿数据,监管工作函,NO SUCH FILE!
688086,紫晶存储,监管工作函,NO SUCH FILE!
688159,有方科技,监管工作函,NO SUCH FILE!
688567,孚能科技,监管工作函,NO SUCH FILE!
600293,三峡新材,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/80b5f815-61cc-4e18-afc4-3943de4e566a.pdf
600293,三峡新材,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/6e74ea36-819b-49cc-a0c9-300f33385a2a.pdf
603717,天域生态,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/425ac8bc-e880-4794-b2a0-a1cfa70bf1d0.pdf
600145,*ST新亿,监管工作函,NO SUCH FILE!
603227,雪峰科技,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/0e47b056-662c-4813-8898-167f64c44027.pdf
603626,科森科技,监管工作函,NO SUCH FILE!
600982,宁波能源,监管工作函,NO SUCH FILE!
601788,光大证券,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/3db77d85-a1db-4ca4-a436-9ba7088019dc.pdf
600546,山煤国际,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/444a69f5-0427-4582-b45b-e8308781ed3c.pdf
603690,至纯科技,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/8ffd3bee-d107-4a48-8ad0-cf3708bfaf80.pdf
603098,森特股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/faf260a6-9baa-4e6f-916a-7f17d1b58388.pdf
688101,三达膜,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/62041065-37ad-46a0-a460-9dc578a75c10.pdf
601028,玉龙股份,监管工作函,NO SUCH FILE!
600807,济南高新,监管工作函,NO SUCH FILE!
603197,保隆科技,监管工作函,NO SUCH FILE!
688625,呈和科技,监管工作函,NO SUCH FILE!
688133,泰坦科技,监管工作函,NO SUCH FILE!
